dataset_iri,dataset_id,title,provider,description,spatial,modified,page,periodicity,start,end,keywords_all
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Nymburk_a_jeho_obce,ps2017CZ0208,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Nymburk a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3208,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Nymburk"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Nachod_a_jeho_obce,ps2017CZ0523,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Náchod a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3605,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Náchod"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Olomouc_a_jeho_obce,ps2017CZ0712,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Olomouc a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3805,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Olomouc"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Opava_a_jeho_obce,ps2017CZ0805,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Opava a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3806,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Opava"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Ostrava_mesto_a_jeho_obce,ps2017CZ0806,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Ostrava-město a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3807,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Ostrava-město"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Pardubice_a_jeho_obce,ps2017CZ0532,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Pardubice a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3606,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Pardubice"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Pelhrimov_a_jeho_obce,ps2017CZ0633,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Pelhřimov a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3304,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Pelhřimov"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Plzen_jih_a_jeho_obce,ps2017CZ0324,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Plzeň-jih a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3406,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Plzeň-jih"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Plzen_mesto_a_jeho_obce,ps2017CZ0323,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Plzeň-město a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3405,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Plzeň-město"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Plzen_sever_a_jeho_obce,ps2017CZ0325,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Plzeň-sever a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3407,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Plzeň-sever"
https://vdb.czso.cz/pll/eweb/lkod_ld.datova_sada?nazev=Volby_do_Poslanecke_snemovny_Parlamentu_CR_2017_vysledky_za_okres_Prachatice_a_jeho_obce,ps2017CZ0315,Volby do Poslanecké sněmovny Parlamentu ČR 2017 - výsledky za okres Prachatice a jeho obce,Český statistický úřad,,https://linked.cuzk.cz/resource/ruian/OK/3306,19401.0,https://www.volby.cz/opendata/ps2017/PS2017_XML.htm,NEVER,17459.0,17460.0,"volby, výsledky voleb, Poslanecká sněmovna, okres Prachatice"
